ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
LEADERSHIP HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601491",San Francisco County,334,19.40,17.22
LEADERSHIP MILITARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601640",Riverside County,262,14.80,17.70
LEADERSHIP PUBLIC SCHOOLS - HAYWARD DISTRICT,CALIFORNIA,CALIFORNIA,="0601815",Alameda County,614,31.00,19.81
LEADERSHIP PUBLIC SCHOOLS: RICHMOND DISTRICT,CALIFORNIA,CALIFORNIA,="0601892",Contra Costa County,600,29.65,20.24
LEARNING BY DESIGN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602090",Los Angeles County,134,6.00,22.33
LEARNING CHOICE ACADEMY - CHULA VISTA DISTRICT,CALIFORNIA,CALIFORNIA,="0602122",San Diego County,404,21.73,18.59
LEARNING CHOICE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602323",San Diego County,239,11.31,21.13
LEARNING FOR LIFE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602318",Monterey County,167,4.86,34.36
LEARNING WITHOUT LIMITS DISTRICT,CALIFORNIA,CALIFORNIA,="0601886",Alameda County,411,18.00,22.83
LEARNING WORKS DISTRICT,CALIFORNIA,CALIFORNIA,="0601869",Los Angeles County,263,9.00,29.22
LEGGETT VALLEY UNIFIED,California,CALIFORNIA,="0609665",Mendocino County,134,13.29,10.08
LEMON GROVE,California,CALIFORNIA,="0621330",San Diego County,3160,145.46,21.72
LEMOORE MIDDLE COLLEGE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602412",Kings County,232,13.50,17.19
LEMOORE ONLINE COLLEGE PREPARATORY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601820",Kings County,135,2.67,50.56
LEMOORE UNION ELEMENTARY,California,CALIFORNIA,="0621360",Kings County,3227,155.81,20.71
LEMOORE UNION HIGH,California,CALIFORNIA,="0621400",Kings County,1974,93.12,21.20
LENNOX,California,CALIFORNIA,="0621420",Los Angeles County,4731,216.76,21.83
LENNOX MATHEMATICS SCIENCE AND TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601617",Los Angeles County,580,28.15,20.60
LEONARDO DA VINCI HEALTH SCIENCES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601992",San Diego County,259,15.00,17.27
LEWISTON ELEMENTARY,California,CALIFORNIA,="0621480",Trinity County,72,4.00,18.00
LIBERTAS COLLEGE PREPARATORY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601958",Los Angeles County,284,15.00,18.93
LIBERTY ELEMENTARY,California,CALIFORNIA,="0621570",Tulare County,677,29.00,23.34
LIBERTY ELEMENTARY,California,CALIFORNIA,="0621540",Sonoma County,209,11.21,18.64
LIBERTY INDEPENDENT STUDY DISTRICT,CALIFORNIA,CALIFORNIA,="0602549",Sonoma County,†,†,†
LIBERTY UNION HIGH,California,CALIFORNIA,="0621600",Contra Costa County,8222,366.95,22.41
LIFE SOURCE INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602199",Los Angeles County,353,16.00,22.06
LIFELINE EDUCATION CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601683",Los Angeles County,683,28.50,23.96
LIGHTHOUSE COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601937",Alameda County,511,24.00,21.29
LIGHTHOUSE COMMUNITY CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602356",Alameda County,304,17.30,17.57
LINCOLN ELEMENTARY,California,CALIFORNIA,="0621660",Marin County,8,1.00,8.00
LINCOLN UNIFIED,California,CALIFORNIA,="0621690",San Joaquin County,8939,409.32,21.84
LINDEN UNIFIED,California,CALIFORNIA,="0621810",San Joaquin County,2323,107.62,21.59
LINDSAY UNIFIED,California,CALIFORNIA,="0621870",Tulare County,4067,166.91,24.37
LINNS VALLEY-POSO FLAT UNION,California,CALIFORNIA,="0621900",Kern County,15,2.00,7.50
LITERACY FIRST CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602098",San Diego County,1862,95.15,19.57
LITTLE LAKE CITY ELEMENTARY,California,CALIFORNIA,="0621930",Los Angeles County,4079,185.66,21.97
LITTLE SHASTA ELEMENTARY,California,CALIFORNIA,="0621960",Siskiyou County,16,1.75,9.14
LIVE OAK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602161",Sonoma County,280,13.26,21.12
LIVE OAK ELEMENTARY,California,CALIFORNIA,="0621990",Santa Cruz County,1730,79.52,21.76
LIVE OAK UNIFIED,California,CALIFORNIA,="0622050",Sutter County,1902,92.91,20.47
LIVERMORE VALLEY JOINT UNIFIED,California,CALIFORNIA,="0622110",Alameda County,13305,581.94,22.86
LIVINGSTON UNION,California,CALIFORNIA,="0622170",Merced County,2474,108.51,22.80
LODESTAR: A LIGHTHOUSE COMMUNITY CHARTER PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0601755",Alameda County,645,28.00,23.04
LODI UNIFIED,California,CALIFORNIA,="0622230",San Joaquin County,27896,1312.46,21.25
LOLETA UNION ELEMENTARY,California,CALIFORNIA,="0622320",Humboldt County,97,6.00,16.17
LOMA PRIETA JOINT UNION ELEMENTARY,California,CALIFORNIA,="0622350",Santa Cruz County,441,23.00,19.17
LOMPOC UNIFIED,California,CALIFORNIA,="0622410",Santa Barbara County,9231,436.00,21.17
LONE PINE UNIFIED,California,CALIFORNIA,="0622440",Inyo County,324,17.57,18.44
LONG BEACH UNIFIED,California,CALIFORNIA,="0622500",Los Angeles County,69413,2808.82,24.71
LONG BEACH UNIFIED ROP,California,CALIFORNIA,="0600108",Los Angeles County,="0",–,–
LONG VALLEY DISTRICT,CALIFORNIA,CALIFORNIA,="0602296",Lassen County,285,13.35,21.35
LOOMIS UNION ELEMENTARY,California,CALIFORNIA,="0622560",Placer County,2847,126.13,22.57
LOS ALAMITOS UNIFIED,California,CALIFORNIA,="0622590",Orange County,9317,366.30,25.44
LOS ALTOS ELEMENTARY,California,CALIFORNIA,="0622650",Santa Clara County,3576,193.28,18.50
LOS ANGELES ACADEMY OF ARTS AND ENTERPRISE DISTRICT,CALIFORNIA,CALIFORNIA,="0601534",Los Angeles County,275,18.98,14.49
LOS ANGELES COLLEGE PREP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601713",Los Angeles County,64,5.00,12.80
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691078",Los Angeles County,1679,187.23,8.97
LOS ANGELES COUNTY ROP,California,CALIFORNIA,="0600110",Los Angeles County,="0",–,–
LOS ANGELES LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601494",Los Angeles County,439,24.43,17.97
LOS ANGELES LEADERSHIP PRIMARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601797",Los Angeles County,340,16.50,20.61
LOS ANGELES UNIFIED,California,CALIFORNIA,="0622710",Los Angeles County,460633,21872.95,21.06
LOS ANGELES UNIFIED ROCP,California,CALIFORNIA,="0600109",Los Angeles County,="0",†,–
LOS BANOS UNIFIED,California,CALIFORNIA,="0622740",Merced County,10858,449.37,24.16
LOS FELIZ CHARTER MIDDLE SCHOOL FOR THE ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601735",Los Angeles County,143,6.00,23.83
LOS FELIZ CHARTER SCHOOL FOR THE ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601550",Los Angeles County,442,19.00,23.26
LOS GATOS UNION ELEMENTARY,California,CALIFORNIA,="0622830",Santa Clara County,2710,129.70,20.89
LOS GATOS-SARATOGA UNION HIGH,California,CALIFORNIA,="0622800",Santa Clara County,3470,159.90,21.70
LOS MOLINOS UNIFIED,California,CALIFORNIA,="0622860",Tehama County,556,31.78,17.50
LOS NIETOS,California,CALIFORNIA,="0622890",Los Angeles County,1379,61.90,22.28
LOS OLIVOS ELEMENTARY,California,CALIFORNIA,="0622920",Santa Barbara County,155,9.00,17.22
LOST HILLS UNION ELEMENTARY,California,CALIFORNIA,="0622950",Kern County,288,14.90,19.33
LOWELL JOINT,California,CALIFORNIA,="0623010",Los Angeles County,3139,122.60,25.60
LPS OAKLAND R & D CAMPUS DISTRICT,CALIFORNIA,CALIFORNIA,="0601967",Alameda County,492,23.66,20.79
LUCERNE ELEMENTARY,California,CALIFORNIA,="0623040",Lake County,274,17.00,16.12
LUCERNE VALLEY UNIFIED,California,CALIFORNIA,="0600015",San Bernardino County,843,50.96,16.54
LUCIA MAR UNIFIED,California,CALIFORNIA,="0623080",San Luis Obispo County,9921,502.56,19.74
LUIS VALDEZ LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602038",Santa Clara County,343,16.66,20.59
LUTHER BURBANK,California,CALIFORNIA,="0623130",Santa Clara County,475,21.00,22.62
LYNWOOD UNIFIED,California,CALIFORNIA,="0623160",Los Angeles County,12791,530.34,24.12
MAAC COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601988",San Diego County,247,13.08,18.88
MADERA COUNTY SUPERINTENDENT OF SCHOOLS,California,CALIFORNIA,="0691017",Madera County,734,67.01,10.95
MADERA UNIFIED,California,CALIFORNIA,="0623340",Madera County,19941,914.20,21.81
MAGNOLIA ELEMENTARY,California,CALIFORNIA,="0623430",Orange County,5385,225.00,23.93
MAGNOLIA SCIENCE ACADEMY 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0602319",Los Angeles County,464,20.51,22.62
MAGNOLIA SCIENCE ACADEMY 3 DISTRICT,CALIFORNIA,CALIFORNIA,="0602194",Los Angeles County,417,21.01,19.85
MAGNOLIA SCIENCE ACADEMY 4 DISTRICT,CALIFORNIA,CALIFORNIA,="0601678",Los Angeles County,100,8.00,12.50
MAGNOLIA SCIENCE ACADEMY 5 DISTRICT,CALIFORNIA,CALIFORNIA,="0601885",Los Angeles County,290,13.67,21.21
MAGNOLIA SCIENCE ACADEMY 6 DISTRICT,CALIFORNIA,CALIFORNIA,="0602205",Los Angeles County,163,7.20,22.64
MAGNOLIA SCIENCE ACADEMY 7 DISTRICT,CALIFORNIA,CALIFORNIA,="0602254",Los Angeles County,294,11.00,26.73
MAGNOLIA SCIENCE ACADEMY BELL DISTRICT,CALIFORNIA,CALIFORNIA,="0601630",Los Angeles County,440,19.00,23.16
MAGNOLIA SCIENCE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601706",Los Angeles County,717,34.25,20.93
MAGNOLIA SCIENCE ACADEMY SAN DIEGO DISTRICT,CALIFORNIA,CALIFORNIA,="0602387",San Diego County,441,16.10,27.39
MAGNOLIA SCIENCE ACADEMY SANTA ANA DISTRICT,CALIFORNIA,CALIFORNIA,="0601461",Orange County,544,28.54,19.06
MAGNOLIA UNION ELEMENTARY,California,CALIFORNIA,="0623460",Imperial County,134,5.25,25.52
MAKING WAVES ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601502",Contra Costa County,1084,61.10,17.74
MAMMOTH UNIFIED,California,CALIFORNIA,="0623530",Mono County,1119,57.28,19.54
MANCHESTER UNION ELEMENTARY,California,CALIFORNIA,="0623550",Mendocino County,43,3.00,14.33
MANHATTAN BEACH UNIFIED,California,CALIFORNIA,="0600025",Los Angeles County,6030,249.63,24.16
MANTECA UNIFIED,California,CALIFORNIA,="0623610",San Joaquin County,23660,1043.15,22.68
MANZANITA ELEMENTARY,California,CALIFORNIA,="0623700",Butte County,276,12.60,21.90
MANZANITA MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602358",Contra Costa County,91,7.00,13.00
MANZANITA PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601719",Santa Barbara County,413,18.00,22.94
MAPLE CREEK ELEMENTARY,California,CALIFORNIA,="0623730",Humboldt County,11,1.65,6.67
MAPLE ELEMENTARY,California,CALIFORNIA,="0623760",Kern County,288,10.00,28.80
MARCONI LEARNING ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602377",Sacramento County,347,14.98,23.16
MARCUM-ILLINOIS UNION ELEMENTARY,California,CALIFORNIA,="0623800",Sutter County,181,10.00,18.10
MARE ISLAND TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601783",Solano County,418,14.85,28.15
MARIA MONTESSORI CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602053",Placer County,272,17.80,15.28
MARICOPA UNIFIED,California,CALIFORNIA,="0623820",Kern County,318,20.00,15.90
MARIN COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691018",Marin County,310,32.98,9.40
MARIN COUNTY ROP,California,CALIFORNIA,="0600117",Marin County,="0",–,–
MARIN PUPIL TRANSPORTATION AGENCY JPA,California,CALIFORNIA,="0601406",Marin County,†,†,†
MARIPOSA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691090",Mariposa County,40,6.00,6.67
MARIPOSA COUNTY UNIFIED,California,CALIFORNIA,="0623940",Mariposa County,1604,83.96,19.10
MARK TWAIN UNION ELEMENTARY,California,CALIFORNIA,="0623970",Calaveras County,690,31.67,21.79
MARK WEST UNION ELEMENTARY,California,CALIFORNIA,="0624000",Sonoma County,1298,66.92,19.40
MARTINEZ UNIFIED,California,CALIFORNIA,="0624030",Contra Costa County,3983,187.11,21.29
MARYSVILLE JOINT UNIFIED,California,CALIFORNIA,="0624090",Yuba County,9733,428.49,22.71
MATH AND SCIENCE COLLEGE PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0601798",Los Angeles County,528,30.00,17.60
MATRIX FOR SUCCESS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602396",Los Angeles County,162,5.00,32.40
MATTOLE UNIFIED,California,CALIFORNIA,="0600038",Humboldt County,45,7.00,6.43
MAXWELL UNIFIED,California,CALIFORNIA,="0624150",Colusa County,325,19.86,16.36
MAYA LIN DISTRICT,CALIFORNIA,CALIFORNIA,="0602514",Alameda County,†,†,†
MCCABE UNION ELEMENTARY,California,CALIFORNIA,="0624180",Imperial County,1312,55.00,23.85
MCCLOUD UNION ELEMENTARY,California,CALIFORNIA,="0624210",Siskiyou County,59,3.83,15.40
MCFARLAND UNIFIED,California,CALIFORNIA,="0624230",Kern County,3445,141.02,24.43
MCGILL SCHOOL OF SUCCESS DISTRICT,CALIFORNIA,CALIFORNIA,="0602275",San Diego County,142,6.00,23.67
MCKINLEYVILLE UNION ELEMENTARY,California,CALIFORNIA,="0624300",Humboldt County,971,44.47,21.83
MCKITTRICK ELEMENTARY,California,CALIFORNIA,="0624330",Kern County,67,5.00,13.40
MCSWAIN UNION ELEMENTARY,California,CALIFORNIA,="0624360",Merced County,839,39.00,21.51
MEADOWS ARTS AND TECHNOLOGY ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601478",Ventura County,409,19.46,21.02
MEADOWS UNION ELEMENTARY,California,CALIFORNIA,="0624390",Imperial County,417,19.00,21.95
MENDOCINO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691019",Mendocino County,102,14.05,7.26
MENDOCINO COUNTY ROC/ROP,California,CALIFORNIA,="0600118",Mendocino County,="0",–,–
MENDOCINO UNIFIED,California,CALIFORNIA,="0624480",Mendocino County,477,38.52,12.38
MENDOTA UNIFIED,California,CALIFORNIA,="0600022",Fresno County,3668,160.87,22.80
MENIFEE UNION ELEMENTARY,California,CALIFORNIA,="0624540",Riverside County,10456,446.29,23.43
MENLO PARK CITY ELEMENTARY,California,CALIFORNIA,="0624570",San Mateo County,2781,176.44,15.76
MERCED CITY ELEMENTARY,California,CALIFORNIA,="0624600",Merced County,10800,423.47,25.50
MERCED COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691020",Merced County,1472,107.00,13.76
MERCED COUNTY ROP,California,CALIFORNIA,="0600119",Merced County,="0",–,–
MERCED RIVER UNION ELEMENTARY,California,CALIFORNIA,="0624630",Merced County,218,5.36,40.67
MERCED UNION HIGH,California,CALIFORNIA,="0624660",Merced County,10977,521.36,21.05
MERIDIAN ELEMENTARY,California,CALIFORNIA,="0624690",Sutter County,63,3.00,21.00
MESA UNION ELEMENTARY,California,CALIFORNIA,="0624720",Ventura County,584,27.24,21.44
METHOD SCHOOLS LA DISTRICT,CALIFORNIA,CALIFORNIA,="0602150",Riverside County,485,13.67,35.48
METHODSCHOOLS DISTRICT,CALIFORNIA,CALIFORNIA,="0601682",San Diego County,458,13.46,34.03
METRO EDUCATION,California,CALIFORNIA,="0600135",Santa Clara County,="0",–,–
METROPOLITAN EDUCATION,California,CALIFORNIA,="0601398",Santa Clara County,†,†,†
MID-PLACER TRANSPORTATION JPA,California,CALIFORNIA,="0601401",Placer County,†,†,†
MIDDLETOWN UNIFIED,California,CALIFORNIA,="0624750",Lake County,1391,67.60,20.58
MIDWAY ELEMENTARY,California,CALIFORNIA,="0624780",Kern County,72,6.00,12.00
MILL VALLEY ELEMENTARY,California,CALIFORNIA,="0624870",Marin County,2640,137.54,19.19
MILLBRAE ELEMENTARY,California,CALIFORNIA,="0624900",San Mateo County,2238,96.00,23.31
MILLENNIUM CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601698",San Joaquin County,538,34.05,15.80
MILLER CREEK ELEMENTARY,California,CALIFORNIA,="0611220",Marin County,1860,91.00,20.44
MILLVILLE ELEMENTARY,California,CALIFORNIA,="0624930",Shasta County,243,12.66,19.19
MILPITAS UNIFIED,California,CALIFORNIA,="0624500",Santa Clara County,10413,440.49,23.64
MIRUS SECONDARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601847",San Bernardino County,321,8.00,40.13
MISSION ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601746",Los Angeles County,492,16.36,30.07
MISSION PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0602236",San Francisco County,439,17.00,25.82
MISSION TRAILS ROP,California,CALIFORNIA,="0600120",Monterey County,="0",–,–
MISSION TRAILS ROP JPA,California,CALIFORNIA,="0601385",Monterey County,†,†,†
MISSION UNION ELEMENTARY,California,CALIFORNIA,="0625110",Monterey County,123,7.00,17.57
MISSION VALLEY ROC/P,California,CALIFORNIA,="0600086",Alameda County,="0",–,–
MISSION VALLEY ROC/P,California,CALIFORNIA,="0601397",Alameda County,†,†,†
MISSION VIEW PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0601562",Los Angeles County,312,9.90,31.52
MISSION VISTA ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602513",Riverside County,3875,136.29,28.43
MIT ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602483",Solano County,513,18.69,27.45
MIT GRIFFIN ACADEMY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601875",Solano County,302,11.00,27.45
MODESTO CITY ELEMENTARY,California,CALIFORNIA,="0625130",Stanislaus County,14205,626.49,22.67
MODESTO CITY HIGH,California,CALIFORNIA,="0625150",Stanislaus County,15386,640.96,24.00
MODESTO CITY SCHOOLS,California,CALIFORNIA,="0601330",Stanislaus County,†,†,†
MODOC COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691093",Modoc County,24,7.00,3.43
MODOC COUNTY ROP,California,CALIFORNIA,="0600081",Modoc County,="0",–,–
MODOC JOINT UNIFIED,California,CALIFORNIA,="0625190",Modoc County,814,46.33,17.57
MOJAVE RIVER ACADEMY - GOLD CANYON DISTRICT,CALIFORNIA,CALIFORNIA,="0601601",San Bernardino County,223,7.37,30.26
MOJAVE RIVER ACADEMY - MARBLE CITY DISTRICT,CALIFORNIA,CALIFORNIA,="0601751",San Bernardino County,202,7.37,27.41
MOJAVE RIVER ACADEMY - NATIONAL TRAILS DISTRICT,CALIFORNIA,CALIFORNIA,="0601935",San Bernardino County,575,19.40,29.64
MOJAVE RIVER ACADEMY - ORO GRANDE DISTRICT,CALIFORNIA,CALIFORNIA,="0602209",San Bernardino County,869,33.40,26.02
MOJAVE RIVER ACADEMY - ROCKVIEW PARK DISTRICT,CALIFORNIA,CALIFORNIA,="0602427",San Bernardino County,301,12.12,24.83
MOJAVE RIVER ACADEMY - ROUTE 66 DISTRICT,CALIFORNIA,CALIFORNIA,="0601487",San Bernardino County,433,13.40,32.31
MOJAVE RIVER ACADEMY - SILVER MOUNTAIN DISTRICT,CALIFORNIA,CALIFORNIA,="0601577",San Bernardino County,569,19.89,28.61
MOJAVE UNIFIED,California,CALIFORNIA,="0625230",Kern County,2869,125.05,22.94
MONARCH LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601997",Shasta County,86,5.00,17.20
MONARCH RIVER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602508",Tulare County,929,30.17,30.79
MONO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691052",Mono County,203,13.62,14.90
MONO COUNTY ROC/P,California,CALIFORNIA,="0600155",Mono County,="0",–,–
MONROE ELEMENTARY,California,CALIFORNIA,="0625290",Fresno County,152,10.00,15.20
MONROVIA UNIFIED,California,CALIFORNIA,="0625320",Los Angeles County,5247,236.54,22.18
MONSENOR OSCAR ROMERO CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601526",Los Angeles County,318,15.05,21.13
MONSON-SULTANA JOINT UNION ELEMENTARY,California,CALIFORNIA,="0625350",Tulare County,443,21.00,21.10
MONTAGUE CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602264",Los Angeles County,824,35.00,23.54
MONTAGUE ELEMENTARY,California,CALIFORNIA,="0625380",Siskiyou County,182,10.00,18.20
MONTE RIO UNION ELEMENTARY,California,CALIFORNIA,="0625410",Sonoma County,62,5.00,12.40
MONTEBELLO UNIFIED,California,CALIFORNIA,="0625470",Los Angeles County,23092,982.46,23.50
MONTECITO UNION ELEMENTARY,California,CALIFORNIA,="0625500",Santa Barbara County,374,32.93,11.36
MONTEREY BAY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601570",Monterey County,490,19.00,25.79
MONTEREY COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691021",Monterey County,717,64.26,11.16
MONTEREY PENINSULA UNIFIED,California,CALIFORNIA,="0625530",Monterey County,9403,493.71,19.05
MONTGOMERY ELEMENTARY,California,CALIFORNIA,="0625650",Sonoma County,22,3.00,7.33
MOORPARK UNIFIED,California,CALIFORNIA,="0625690",Ventura County,5845,264.50,22.10
MORAGA ELEMENTARY,California,CALIFORNIA,="0625740",Contra Costa County,1769,81.67,21.66
MORELAND,California,CALIFORNIA,="0625770",Santa Clara County,4364,194.96,22.38
MORENO VALLEY UNIFIED,California,CALIFORNIA,="0625800",Riverside County,31597,1449.51,21.80
MORGAN HILL UNIFIED,California,CALIFORNIA,="0625830",Santa Clara County,8245,336.92,24.47
MORONGO UNIFIED,California,CALIFORNIA,="0625860",San Bernardino County,8005,365.51,21.90
MORRICE SCHAEFER CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601685",Sonoma County,355,14.00,25.36
MOTHER LODE UNION ELEMENTARY,California,CALIFORNIA,="0625980",El Dorado County,934,40.33,23.16
MOUNT PLEASANT ELEMENTARY,California,CALIFORNIA,="0626400",Santa Clara County,1929,85.47,22.57
MOUNTAIN ELEMENTARY,California,CALIFORNIA,="0626070",Santa Cruz County,133,7.00,19.00
MOUNTAIN EMPIRE UNIFIED,California,CALIFORNIA,="0626100",San Diego County,1674,87.42,19.15
MOUNTAIN HOME CHARTER (ALTERNATIVE) DISTRICT,CALIFORNIA,CALIFORNIA,="0602365",Madera County,229,8.84,25.90
MOUNTAIN HOUSE ELEMENTARY,California,CALIFORNIA,="0626130",Alameda County,16,1.01,15.84
MOUNTAIN UNION ELEMENTARY,California,CALIFORNIA,="0627040",Shasta County,64,5.00,12.80
MOUNTAIN VALLEY SPECIAL EDUCATION JPA,CALIFORNIA,CALIFORNIA,="0602527",Shasta County,†,†,†
MOUNTAIN VALLEY UNIFIED,California,CALIFORNIA,="0600018",Trinity County,308,19.13,16.10
MOUNTAIN VIEW ELEMENTARY,California,CALIFORNIA,="0626190",Los Angeles County,5788,256.97,22.52
MOUNTAIN VIEW ELEMENTARY,California,CALIFORNIA,="0626220",San Bernardino County,2625,111.37,23.57
MOUNTAIN VIEW WHISMAN,California,CALIFORNIA,="0626280",Santa Clara County,4753,240.14,19.79
MOUNTAIN VIEW-LOS ALTOS UNION HIGH,California,CALIFORNIA,="0626310",Santa Clara County,4563,236.58,19.29
MT. BALDY JOINT ELEMENTARY,California,CALIFORNIA,="0626340",Los Angeles County,87,5.00,17.40
MT. DIABLO UNIFIED,California,CALIFORNIA,="0626370",Contra Costa County,29908,1305.10,22.92
MT. SHASTA UNION ELEMENTARY,California,CALIFORNIA,="0626040",Siskiyou County,480,23.35,20.56
MUELLER CHARTER (ROBERT L.) DISTRICT,CALIFORNIA,CALIFORNIA,="0601578",San Diego County,1694,66.23,25.58
MULBERRY ELEMENTARY,California,CALIFORNIA,="0626430",Imperial County,78,4.00,19.50
MULTICULTURAL LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601538",Los Angeles County,480,20.00,24.00
MUPU ELEMENTARY,California,CALIFORNIA,="0626460",Ventura County,159,7.80,20.38
MUROC JOINT UNIFIED,California,CALIFORNIA,="0626490",Kern County,1687,88.90,18.98
MURRIETA VALLEY UNIFIED,California,CALIFORNIA,="0600029",Riverside County,22950,909.49,25.23
MUSEUM DISTRICT,CALIFORNIA,CALIFORNIA,="0602106",San Diego County,222,11.00,20.18
N. CO REGIONAL OCCUPATIONAL PROGRAM JPA,California,CALIFORNIA,="0601366",Santa Clara County,†,†,†
N.E.W. ACADEMY CANOGA PARK DISTRICT,CALIFORNIA,CALIFORNIA,="0602145",Los Angeles County,417,20.00,20.85
N.E.W. ACADEMY OF SCIENCE AND ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601923",Los Angeles County,422,18.00,23.44
NAPA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691022",Napa County,104,5.90,17.63
NAPA COUNTY ROP,California,CALIFORNIA,="0600080",Napa County,="0",–,–
NAPA VALLEY UNIFIED,California,CALIFORNIA,="0626640",Napa County,16971,712.56,23.82
NATIONAL ELEMENTARY,California,CALIFORNIA,="0626670",San Diego County,4768,213.50,22.33
NATIONAL UNIV ACAD HOMESCH/INDEPENDENT STUDY ORANGE CO DIST,CALIFORNIA,CALIFORNIA,="0601757",San Diego County,74,3.79,19.53
NATIONAL UNIVERSITY ACADEMY 1001 STEAM DISTRICT,CALIFORNIA,CALIFORNIA,="0601987",San Diego County,113,4.00,28.25
NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE DISTRICT,CALIFORNIA,CALIFORNIA,="0601954",San Diego County,257,12.05,21.33
NATOMAS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602003",Sacramento County,1938,88.91,21.80
NATOMAS UNIFIED,California,CALIFORNIA,="0600036",Sacramento County,13748,624.53,22.01
NEA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601887",Alameda County,589,27.89,21.12
NEEDLES UNIFIED,California,CALIFORNIA,="0626760",San Bernardino County,967,46.75,20.68
