,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
85,ambassador phillip v. sanchez ii public charter district,CALIFORNIA,21.66,2,1,0,0,0,0,0.5,0.1,0.1,1.2,Ambassador Phillip V. Sanchez II Public Charter District,602167.0,Fresno County,6019.0,1.0,CALIFORNIA,245,9.76,25.1
86,america's finest charter district,CALIFORNIA,60.25,13.75,1,0,0,2.5,0,0,0,1,8.5,America's Finest Charter District,601468.0,San Diego County,6073.0,1.0,CALIFORNIA,457,27.5,16.62
87,american indian public charter district,CALIFORNIA,16.75,1.67,0,0,0,2.04,0,0,0,0,0.54,American Indian Public Charter District,601479.0,Alameda County,6001.0,1.0,CALIFORNIA,240,10.04,23.9
88,american indian public charter ii district,CALIFORNIA,57.39,4.71,1,0,0,3.05,1,1,0,0,1.47,American Indian Public Charter II District,601880.0,Alameda County,6001.0,1.0,CALIFORNIA,659,35.77,18.42
89,american indian public high district,CALIFORNIA,28.99,1.66,1,0,0,1.47,0,0,0,0,2.32,American Indian Public High District,602227.0,Alameda County,6001.0,1.0,CALIFORNIA,446,16.55,26.95
90,american river collegiate academy district,CALIFORNIA,5.32,0,0,0.1,0,0.1,0,1,0.05,0,0.54,American River Collegiate Academy District,602541.0,Sacramento County,6067.0,1.0,CALIFORNIA,27,2.44,11.07
91,anaheim elementary,California,1730.88,341.21,24,1,0,13,0,50,62.23,27,374.32,Anaheim Elementary,602610.0,Orange County,6059.0,24.0,CALIFORNIA,15612,658.93,23.69
92,anaheim union high,California,2497.79,414.91,55.97,10,0,5,0,54.96,15,6,564.38,Anaheim Union High,602630.0,Orange County,6059.0,20.0,CALIFORNIA,29183,1203.57,24.25
93,anahuacalmecac international univ prep n. america district,CALIFORNIA,41.08,9.73,1,0,0,1.9,0,0,0,1,1.65,Anahuacalmecac International Univ Prep N. America District,601925.0,Los Angeles County,6037.0,1.0,CALIFORNIA,268,16.1,16.65
94,anderson union high,California,169.07,22.16,7.2,2,0,1,1,6.75,0.48,2,28.31,Anderson Union High,602700.0,Shasta County,6089.0,6.0,CALIFORNIA,1619,83.25,19.45
95,anderson valley unified,California,68.99,8.92,1,0,0,1.05,0,1.85,0,0,20.37,Anderson Valley Unified,602730.0,Mendocino County,6045.0,3.0,CALIFORNIA,434,28.8,15.07
96,animo city of champions charter high district,CALIFORNIA,29.31,1,1,0,0,0,0,3,0,1,0.2,Animo City of Champions Charter High District,602307.0,Los Angeles County,6037.0,1.0,CALIFORNIA,353,22.11,15.97
97,animo compton charter district,CALIFORNIA,17.5,1,1,0.14,0,0,0,2,0,1,0,Animo Compton Charter District,602187.0,Los Angeles County,6037.0,1.0,CALIFORNIA,222,11.36,19.54
98,animo ellen ochoa charter middle district,CALIFORNIA,24.14,1,1,0.14,0,0,0,2,0,1,0,Animo Ellen Ochoa Charter Middle District,601658.0,Los Angeles County,6037.0,1.0,CALIFORNIA,336,17,19.76
99,animo florence-firestone charter middle district,CALIFORNIA,28.81,1,1,0.14,0,0,0,2,0,1,0,Animo Florence-Firestone Charter Middle District,602096.0,Los Angeles County,6037.0,1.0,CALIFORNIA,428,21.67,19.75
100,animo inglewood charter high district,CALIFORNIA,40.51,1,0,0.3,0,0,0,3,2,1,0,Animo Inglewood Charter High District,602471.0,Los Angeles County,6037.0,1.0,CALIFORNIA,635,31.21,20.35
101,animo jackie robinson high district,CALIFORNIA,42.41,4,2,0,0,0,0,3,0,1,0.2,Animo Jackie Robinson High District,601657.0,Los Angeles County,6037.0,1.0,CALIFORNIA,634,30.21,20.99
