,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
546,dry creek joint elementary,California,517.25,61.54,8,2,0,7,1,13,15.6,6,64.88,Dry Creek Joint Elementary,611490.0,Placer County,6061.0,10.0,CALIFORNIA,6335,300.3,21.1
547,duarte unified,California,365.71,73.42,5,8,0,3,0,9,5,5,69.71,Duarte Unified,611520.0,Los Angeles County,6037.0,7.0,CALIFORNIA,3301,152.38,21.66
548,dublin unified,California,979.47,76.5,23.1,5,0,4,0,31.4,16.6,13.4,193.04,Dublin Unified,600019.0,Alameda County,6001.0,14.0,CALIFORNIA,12625,549.91,22.96
549,ducor union elementary,California,16.86,0.11,0,0,0,0,0,1,0,0,3.75,Ducor Union Elementary,611550.0,Tulare County,6107.0,1.0,CALIFORNIA,142,10,14.2
550,dunham elementary,California,15.93,4.54,0,0,0,0,0,1,0.2,0,0.19,Dunham Elementary,611610.0,Sonoma County,6097.0,2.0,CALIFORNIA,156,8,19.5
551,dunsmuir elementary,California,13.5,4.5,0,0,0,0.5,0,0.5,0,0,3,Dunsmuir Elementary,611670.0,Siskiyou County,6093.0,1.0,CALIFORNIA,81,4,20.25
552,dunsmuir joint union high,California,11.88,1,0,0,0,0.26,0,0.63,0,0,2,Dunsmuir Joint Union High,611700.0,Siskiyou County,6093.0,2.0,CALIFORNIA,54,5.99,9.02
553,durham unified,California,87.65,6.59,1.47,0,0.05,2,0,3,1,1,18.24,Durham Unified,611730.0,Butte County,6007.0,3.0,CALIFORNIA,991,48.3,20.52
554,e3 civic high district,CALIFORNIA,49,7.25,1.95,0.2,0,5,0,0,0,0,2,e3 Civic High District,602350.0,San Diego County,6073.0,1.0,CALIFORNIA,425,25.1,16.93
555,earlimart elementary,California,148,2,3,6.5,0,3,0,6,0,0,50,Earlimart Elementary,611760.0,Tulare County,6107.0,4.0,CALIFORNIA,1581,68.5,23.08
556,east bay innovation academy district,CALIFORNIA,46.17,4.5,1,0,0,0,0,4.5,0,0,6.67,East Bay Innovation Academy District,602192.0,Alameda County,6001.0,1.0,CALIFORNIA,630,27.5,22.91
557,east merced county public facilities financing authority,California,–,–,†,–,–,–,–,–,–,–,–,East Merced County Public Facilities Financing Authority,601396.0,Merced County,6047.0,0.0,CALIFORNIA,†,†,†
558,east nicolaus joint union high,California,28.84,0,0,1,0,0,0,0,0,0,8,East Nicolaus Joint Union High,611780.0,Sutter County,6101.0,1.0,CALIFORNIA,309,15.84,19.51
559,east palo alto academy district,CALIFORNIA,42.5,4.4,1.4,0,0,0,0,2,0,0,3.8,East Palo Alto Academy District,601901.0,San Mateo County,6081.0,1.0,CALIFORNIA,369,25.4,14.53
560,east san gabriel valley rop,California,–,–,†,–,–,–,–,–,–,–,–,East San Gabriel Valley ROP,601356.0,Los Angeles County,6037.0,0.0,CALIFORNIA,†,†,†
561,east san gabriel valley rop,California,–,–,–,–,–,–,–,–,–,–,–,East San Gabriel Valley ROP,600105.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
562,east side union high,California,1711.26,128.36,61.4,0,4.8,14,0,38.3,29,13.6,337.17,East Side Union High,611820.0,Santa Clara County,6085.0,16.0,CALIFORNIA,22488,959.63,23.43
563,east valley school transportation jpa,California,–,–,†,–,–,–,–,–,–,–,–,East Valley School Transportation JPA,601381.0,Santa Clara County,6085.0,0.0,CALIFORNIA,†,†,†
564,east whittier city elementary,California,729.46,143.88,0,9,0,2,1,17,27.6,6,117.72,East Whittier City Elementary,611850.0,Los Angeles County,6037.0,13.0,CALIFORNIA,8230,343.11,23.99
565,eastern sierra unified,California,73.73,11.25,1,2,0,0,0,1.98,0,0,16.23,Eastern Sierra Unified,611870.0,Mono County,6051.0,6.0,CALIFORNIA,400,32.27,12.4
566,eastside union elementary,California,311.46,21.3,6,2,1,4,0,9,9,3,79.57,Eastside Union Elementary,611910.0,Los Angeles County,6037.0,6.0,CALIFORNIA,3167,134.84,23.49
567,ecademy charter at crane district,CALIFORNIA,10.22,0.94,1,0,0,0,0,1,0,0,0,eCademy Charter at Crane District,601661.0,Stanislaus County,6099.0,1.0,CALIFORNIA,98,5.9,16.61
568,eden area rop,California,–,–,–,–,–,–,–,–,–,–,–,Eden Area ROP,600085.0,Alameda County,6001.0,1.0,CALIFORNIA,0,–,–
569,eden area rop jpa,California,–,–,†,–,–,–,–,–,–,–,–,Eden Area ROP JPA,601380.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
570,edison elementary,California,100.6,15.9,2,1,0,1,1,1,2,1,17.1,Edison Elementary,611940.0,Kern County,6029.0,2.0,CALIFORNIA,1012,48,21.08
571,edison-bethune charter academy district,CALIFORNIA,39.6,5.7,0,1,0,1,0,0,0,0,6.89,Edison-Bethune Charter Academy District,601588.0,Fresno County,6019.0,1.0,CALIFORNIA,480,20.01,23.99
572,ednovate - brio college prep district,CALIFORNIA,26.87,1,0,0,0,1.17,0,2,0.5,0,3,Ednovate - Brio College Prep District,601799.0,Los Angeles County,6037.0,1.0,CALIFORNIA,420,17.2,24.42
573,ednovate - east college prep district,CALIFORNIA,29.87,3,0,0,0,1.07,0,3,0.5,0,6,Ednovate - East College Prep District,601968.0,Los Angeles County,6037.0,1.0,CALIFORNIA,384,15.3,25.1
574,ednovate - esperanza college prep district,CALIFORNIA,30.47,2,0,0,0,1.17,0,2.9,1,0,0,Ednovate - Esperanza College Prep District,602004.0,Los Angeles County,6037.0,1.0,CALIFORNIA,470,19.4,24.23
575,ednovate - legacy college prep. district,CALIFORNIA,25.67,2,0,0,0,1.07,0,3,0,0,1,Ednovate - Legacy College Prep. District,602043.0,Orange County,6059.0,1.0,CALIFORNIA,336,14.6,23.01
576,ednovate - usc hybrid high college prep district,CALIFORNIA,40.37,1.5,0,0,0,1.07,0,3,1,0,12,Ednovate - USC Hybrid High College Prep District,602345.0,Los Angeles County,6037.0,1.0,CALIFORNIA,550,20.3,27.09
577,ednovate college prep 7 district,CALIFORNIA,8.72,0.05,0,0,0,0.17,0,1,0.5,0,1,Ednovate College Prep 7 District,602540.0,Los Angeles County,6037.0,1.0,CALIFORNIA,126,5,25.2
578,education technology jpa,CALIFORNIA,–,–,†,–,–,–,–,–,–,–,–,Education Technology JPA,602525.0,Fresno County,6019.0,0.0,CALIFORNIA,†,†,†
579,edward b. cole academy district,CALIFORNIA,27.5,2.5,0,1,0,0,0,1,0,0,2,Edward B. Cole Academy District,602130.0,Orange County,6059.0,1.0,CALIFORNIA,406,17,23.88
580,eel river charter district,CALIFORNIA,6.87,1.5,0,0,0,0,0,0,0,0,0.72,Eel River Charter District,601644.0,Mendocino County,6045.0,1.0,CALIFORNIA,64,3,21.33
581,eje elementary academy charter district,CALIFORNIA,53.5,11,0,0,0,0.5,0,1,0,0,13.5,EJE Elementary Academy Charter District,601830.0,San Diego County,6073.0,1.0,CALIFORNIA,536,26.5,20.23
582,eje middle academy district,CALIFORNIA,23,2.5,0,0,0,0.5,0,1,0,0,5,EJE Middle Academy District,601859.0,San Diego County,6073.0,1.0,CALIFORNIA,247,13,19
583,el camino real charter high district,CALIFORNIA,247.8,15,9,3.53,1,2,0,7.49,1,2,38.63,El Camino Real Charter High District,601902.0,Los Angeles County,6037.0,1.0,CALIFORNIA,3661,134.15,27.29
584,el centro elementary,California,563.7,68.51,5.99,0,0,5,2,15.5,7.99,6.99,177.05,El Centro Elementary,612030.0,Imperial County,6025.0,13.0,CALIFORNIA,5292,222.14,23.82
585,el dorado county office of education,California,227.31,62.16,0,3,0,1.25,0,5.45,0,5,65.09,El Dorado County Office of Education,691006.0,El Dorado County,6017.0,6.0,CALIFORNIA,826,68.61,12.04
586,el dorado union high,California,557.33,40.51,17.5,0,3.2,10.6,0,14.7,3.4,4,94.07,El Dorado Union High,612070.0,El Dorado County,6017.0,6.0,CALIFORNIA,6846,285.55,23.97
587,el monte city,California,831.86,141.75,0,0,0,8,0,21,22,9,221.75,El Monte City,612090.0,Los Angeles County,6037.0,15.0,CALIFORNIA,7589,348.86,21.75
588,el monte union high,California,857.35,63.95,30,1,3.74,9,0,26.85,5.8,8,198.62,El Monte Union High,612120.0,Los Angeles County,6037.0,7.0,CALIFORNIA,8358,374.65,22.31
589,el nido elementary,California,21.1,3.6,0,0,0,1,0,0,0,0,5.5,El Nido Elementary,612150.0,Merced County,6047.0,2.0,CALIFORNIA,157,9,17.44
590,el rancho unified,California,756.18,85,14.8,1.75,0,6,0,21,14,15,187.42,El Rancho Unified,612180.0,Los Angeles County,6037.0,15.0,CALIFORNIA,7985,340.21,23.47
591,el rio community district,CALIFORNIA,10.28,1.5,0,0,0,1,0,0,0,0,0,El Rio Community District,602546.0,Los Angeles County,6037.0,1.0,CALIFORNIA,116,5.53,20.98
592,el segundo unified,California,251.28,27.61,5.9,2.5,1,2,0,8,3.86,3,38,El Segundo Unified,612210.0,Los Angeles County,6037.0,5.0,CALIFORNIA,3448,141.78,24.32
593,el sol santa ana science and arts academy district,CALIFORNIA,103.5,9,0,0,0,2,0,0,0,0,37.5,El Sol Santa Ana Science and Arts Academy District,601758.0,Orange County,6059.0,1.0,CALIFORNIA,921,43,21.42
594,el tejon unified,California,75.24,8,0.38,0,0,0.5,0,2,0,1,20.32,El Tejon Unified,600026.0,Kern County,6029.0,3.0,CALIFORNIA,699,34.38,20.33
595,eleanor roosevelt community learning center district,CALIFORNIA,16.5,0.5,0,0,0,0,0,0,0,0,1,Eleanor Roosevelt Community Learning Center District,602036.0,Tulare County,6107.0,1.0,CALIFORNIA,317,12,26.42
596,elevate district,CALIFORNIA,38.23,7.2,1,1.63,0,2,0,0,0,0.4,3.6,Elevate District,601503.0,San Diego County,6073.0,1.0,CALIFORNIA,366,18,20.33
597,elite acad academy - adult work force investment district,CALIFORNIA,6,0,0,0,0,0,0,1,0,0,0.5,Elite ACAD Academy - Adult Work Force Investment District,601956.0,San Bernardino County,6071.0,1.0,CALIFORNIA,79,4.5,17.56
598,elite academic academy - lucerne district,CALIFORNIA,68.01,4,1,1.5,0,5.7,0,0,0,0,10,Elite Academic Academy - Lucerne District,602207.0,Riverside County,6065.0,1.0,CALIFORNIA,340,30.81,11.04
599,elite academic academy - mountain empire district,CALIFORNIA,71.91,4,1,1.05,0,5.7,0,0,0,0,9,Elite Academic Academy - Mountain Empire District,602288.0,Riverside County,6065.0,1.0,CALIFORNIA,614,36.16,16.98
600,elite public district,CALIFORNIA,32,0,0,0,0,2,0,1,0,0,8,Elite Public District,602485.0,Solano County,6095.0,1.0,CALIFORNIA,474,21,22.57
601,elk grove unified,California,5765.87,686.34,89.5,0,17.2,98.06,0,144.5,86.5,58.9,1432.5,Elk Grove Unified,612330.0,Sacramento County,6067.0,66.0,CALIFORNIA,63157,2722.23,23.2
602,elk hills elementary,California,21,2,0,0,0,0,0,1,0,0,6,Elk Hills Elementary,612360.0,Kern County,6029.0,1.0,CALIFORNIA,171,9,19
603,elverta joint elementary,California,29.6,8.51,0,0,0,0.6,0,0.4,0,0,7.09,Elverta Joint Elementary,612600.0,Sacramento County,6067.0,3.0,CALIFORNIA,271,10,27.1
604,emery unified,California,70,2,1,0,1,3,0,3,1,1,17,Emery Unified,612630.0,Alameda County,6001.0,3.0,CALIFORNIA,698,37,18.86
605,empire springs charter district,CALIFORNIA,110.92,9.73,3.5,0.15,0,0.55,0,2.41,0,0.42,25.96,Empire Springs Charter District,601701.0,San Bernardino County,6071.0,1.0,CALIFORNIA,1625,51.4,31.61
606,empire union elementary,California,276.74,23.68,5.3,1,0,4,0,7,4.3,3,71.72,Empire Union Elementary,612690.0,Stanislaus County,6099.0,6.0,CALIFORNIA,2866,122.5,23.4
607,empower charter district,CALIFORNIA,16.15,2.75,1,0,0,1,0,1,0,0,1.4,Empower Charter District,602375.0,San Diego County,6073.0,1.0,CALIFORNIA,139,7,19.86
608,empower generations district,CALIFORNIA,69,5,2,0,0,2,0,13,1,2,10.5,Empower Generations District,601947.0,Los Angeles County,6037.0,1.0,CALIFORNIA,85,4,21.25
609,empowering possibilities international charter district,CALIFORNIA,45.48,12.12,0,0,0,0,0,1,1,0,7.24,Empowering Possibilities International Charter District,602147.0,Yolo County,6113.0,1.0,CALIFORNIA,372,22,16.91
610,encinitas union elementary,California,492.55,72.55,0,0.5,0,11,0,9,14.63,10.1,115.48,Encinitas Union Elementary,612750.0,San Diego County,6073.0,9.0,CALIFORNIA,4918,224.02,21.95
611,encore jr./sr. high sch for the perf & visual arts district,CALIFORNIA,91.5,2,2,0,0,2,0,0.8,1,0.5,19.7,Encore Jr./Sr. High Sch for the Perf & Visual Arts District,601523.0,San Bernardino County,6071.0,1.0,CALIFORNIA,858,43.5,19.72
612,endeavor charter district,CALIFORNIA,24.13,0.6,1,0,0,1,0,0.9,0,0,4.74,Endeavor Charter District,602538.0,Fresno County,6019.0,1.0,CALIFORNIA,293,13.26,22.1
613,endeavor college preparatory charter district,CALIFORNIA,53,12,1,2,0,4,0,0,0,0,7,Endeavor College Preparatory Charter District,601883.0,Los Angeles County,6037.0,1.0,CALIFORNIA,629,19,33.11
614,enterprise elementary,California,359.98,58,0,1,0,6,0,12,8.4,3,74.77,Enterprise Elementary,612810.0,Shasta County,6089.0,9.0,CALIFORNIA,3680,161.66,22.76
615,entrepreneur high district,CALIFORNIA,31,4,0,1,0,0,0,2,0,0,6,Entrepreneur High District,602326.0,San Bernardino County,6071.0,1.0,CALIFORNIA,567,15,37.8
616,environmental charter high district,CALIFORNIA,60.1,6.92,2,3.33,0,1.66,0,3,0,0.33,9.5,Environmental Charter High District,602076.0,Los Angeles County,6037.0,1.0,CALIFORNIA,521,27,19.3
617,environmental charter middle - inglewood district,CALIFORNIA,38.43,4.79,1,1.33,0,3.66,0,2,0,0.33,4,Environmental Charter Middle - Inglewood District,601540.0,Los Angeles County,6037.0,1.0,CALIFORNIA,358,16.5,21.7
618,environmental charter middle district,CALIFORNIA,40.43,6.79,1,1.33,0,2.66,0,2,0,0.33,7,Environmental Charter Middle District,601708.0,Los Angeles County,6037.0,1.0,CALIFORNIA,346,14,24.71
619,envision academy for arts & technology district,CALIFORNIA,36.15,2.6,1,0,0,1,1,2.95,0,0,1.2,Envision Academy for Arts & Technology District,601614.0,Alameda County,6001.0,1.0,CALIFORNIA,408,24.1,16.93
620,epic charter district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,Epic Charter District,602223.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
621,epic chrtr(excellence perf innovation citzenship) dist,CALIFORNIA,38.83,1,1,0.08,0,2.4,0,1,0,0,1,EPIC CHRTR(Excellence Perf Innovation Citzenship) DIST,601519.0,Orange County,6059.0,1.0,CALIFORNIA,783,30.35,25.8
622,epic de cesar chavez district,CALIFORNIA,50.88,6.4,3,0,0,2,0,0,0,0,1,EPIC de Cesar Chavez District,601762.0,Kern County,6029.0,1.0,CALIFORNIA,687,22.95,29.93
623,epiphany prep charter district,CALIFORNIA,65.5,9.5,4,0,0,1.5,0,2,0,1,11.5,Epiphany Prep Charter District,601739.0,San Diego County,6073.0,1.0,CALIFORNIA,706,31,22.77
624,equitas academy #2 district,CALIFORNIA,62.5,29,0.5,0,0,1.25,0,2,0,0.25,8,Equitas Academy #2 District,602484.0,Los Angeles County,6037.0,1.0,CALIFORNIA,408,19.5,20.92
625,equitas academy #3 charter district,CALIFORNIA,–,–,–,–,–,–,–,–,–,–,–,Equitas Academy #3 Charter District,601944.0,Los Angeles County,6037.0,1.0,CALIFORNIA,430,–,–
626,equitas academy 4 district,CALIFORNIA,43.75,22.5,0.5,0,0,1.25,0,2,0,0.25,3,Equitas Academy 4 District,602128.0,Los Angeles County,6037.0,1.0,CALIFORNIA,264,11.25,23.47
627,equitas academy 5 district,CALIFORNIA,19.55,8.5,0.5,0,0,0.8,0,1,0,0.25,1.5,Equitas Academy 5 District,602522.0,Los Angeles County,6037.0,1.0,CALIFORNIA,110,5,22
628,equitas academy 6 district,CALIFORNIA,22.5,9,0.5,0,0,0.75,0,1,0,0.25,2,Equitas Academy 6 District,602504.0,Los Angeles County,6037.0,1.0,CALIFORNIA,161,7,23
629,equitas academy charter district,CALIFORNIA,58.5,25,0.5,0,0,0.5,0,2.25,0,0.25,9,Equitas Academy Charter District,602425.0,Los Angeles County,6037.0,1.0,CALIFORNIA,466,17,27.41
630,escalon charter academy district,CALIFORNIA,15.97,0,0,0,0,0,0,1,0,0,0.2,Escalon Charter Academy District,602104.0,San Joaquin County,6077.0,1.0,CALIFORNIA,346,14.08,24.57
631,escalon unified,California,242.9,26.57,3.95,3,0,2,0,8.5,4,3,55.41,Escalon Unified,612840.0,San Joaquin County,6077.0,7.0,CALIFORNIA,2628,123.12,21.35
632,escondido charter high district,CALIFORNIA,79.5,3,1,0,0,0,0,4,0,0,9,Escondido Charter High District,602443.0,San Diego County,6073.0,1.0,CALIFORNIA,929,53.5,17.36
633,escondido union,California,1683.63,240,10,28.69,0,15,0,37,63.46,22,395.32,Escondido Union,612880.0,San Diego County,6073.0,23.0,CALIFORNIA,14197,747.41,18.99
634,escondido union high,California,666.96,71.85,22.2,2.4,0,13,1,20,12.6,6,135.73,Escondido Union High,612910.0,San Diego County,6073.0,5.0,CALIFORNIA,7118,314.78,22.61
635,escuela popular accelerated family learning district,CALIFORNIA,49.01,13.63,0,0,0,0.35,0,0,0,0,16.38,Escuela Popular Accelerated Family Learning District,601906.0,Santa Clara County,6085.0,1.0,CALIFORNIA,349,16.4,21.28
636,escuela popular/ctr for trn and careers fam lrng district,CALIFORNIA,48.52,15.62,0,0.25,0,0.9,0,0,0,0,12.4,Escuela Popular/CTR for TRN and Careers FAM Lrng District,602392.0,Santa Clara County,6085.0,1.0,CALIFORNIA,414,16.35,25.32
637,esparto unified,California,94.85,7.75,1,0,0,1.8,0,2,0.8,0.6,26.51,Esparto Unified,612930.0,Yolo County,6113.0,4.0,CALIFORNIA,934,43.39,21.53
638,etiwanda elementary,California,1221.59,260.07,13,9,1.6,12,0,38,27.75,17.92,150.79,Etiwanda Elementary,612960.0,San Bernardino County,6071.0,18.0,CALIFORNIA,13478,571.97,23.56
639,eureka city schools,California,388.62,47.37,3.5,1.2,1,3,0,11,5.5,5.49,112.94,Eureka City Schools,600052.0,Humboldt County,6023.0,8.0,CALIFORNIA,3540,161.84,21.87
640,eureka union,California,236.16,24.58,3.6,2,0,2.5,0,8.5,9.2,4,29.09,Eureka Union,613080.0,Placer County,6061.0,7.0,CALIFORNIA,3149,134.84,23.35
641,everest public high district,CALIFORNIA,37.56,0,0,1.2,0,2,0,1,0,0,3.56,Everest Public High District,602229.0,San Mateo County,6081.0,1.0,CALIFORNIA,361,26.8,13.47
642,everest value district,CALIFORNIA,30.5,3.5,0,0,0,0,0,1,0,0,13.5,Everest Value District,602085.0,Los Angeles County,6037.0,1.0,CALIFORNIA,236,9,26.22
643,evergreen elementary,California,736.38,53.63,7,0,0.5,5,0,26.5,26.6,9.4,154.82,Evergreen Elementary,613140.0,Santa Clara County,6085.0,18.0,CALIFORNIA,9789,408.9,23.94
644,evergreen union,California,147.29,30.01,1,0,0,2,0,4.2,2,1,26.28,Evergreen Union,613170.0,Tehama County,6103.0,6.0,CALIFORNIA,1175,67.01,17.53
645,excel academy charter district,CALIFORNIA,65.84,1.8,1,3.86,0,1,0,1,0,2,10.7,Excel Academy Charter District,602487.0,Orange County,6059.0,1.0,CALIFORNIA,518,41.38,12.52
646,excel academy charter district,CALIFORNIA,88.92,4.2,1,2.81,0,0,0,1,0,2,12.01,Excel Academy Charter District,602500.0,Orange County,6059.0,1.0,CALIFORNIA,1187,58.8,20.19
647,excelsior charter district,CALIFORNIA,102.7,1.7,0,1.2,0,1.8,0,7.3,0,0,6.64,Excelsior Charter District,602313.0,San Bernardino County,6071.0,1.0,CALIFORNIA,2044,75.06,27.23
648,excelsior charter school corona-norco district,CALIFORNIA,10.09,0,0,0.8,0,1.2,0,0.9,0,0,1,Excelsior Charter School Corona-Norco District,601966.0,Riverside County,6065.0,1.0,CALIFORNIA,125,6.19,20.19
649,exeter unified,California,250.35,19.35,3.8,6.9,0,2,0,10.2,0,2.45,65.64,Exeter Unified,601423.0,Tulare County,6107.0,7.0,CALIFORNIA,2637,116.83,22.57
650,extera public district,CALIFORNIA,50.5,8,0.5,0,0,0.5,0,1.5,0,0.5,14,Extera Public District,601804.0,Los Angeles County,6037.0,1.0,CALIFORNIA,467,21,22.24
651,extera public school no. 2 district,CALIFORNIA,40,4.5,0.5,0,0,0.5,0,2.5,0,0.5,11,Extera Public School No. 2 District,601795.0,Los Angeles County,6037.0,1.0,CALIFORNIA,381,17,22.41
652,ezequiel tafoya alvarado academy district,CALIFORNIA,67.25,17,1.25,0,0,1,0,1,0,0,11,Ezequiel Tafoya Alvarado Academy District,602153.0,Madera County,6039.0,1.0,CALIFORNIA,604,23,26.26
653,fairfax elementary,California,247.93,38.17,4,4,0.5,6,0,5,5,2,53.26,Fairfax Elementary,613290.0,Kern County,6029.0,4.0,CALIFORNIA,2703,114,23.71
654,fairfield-suisun unified,California,1915.01,185.47,24.4,15.33,8.25,16,2,52,25,28.6,482.63,Fairfield-Suisun Unified,613360.0,Solano County,6095.0,30.0,CALIFORNIA,20703,886.66,23.35
655,fall river joint unified,California,147.15,21.58,0.95,0,0,1.95,0,5,1.75,0,36.81,Fall River Joint Unified,613470.0,Shasta County,6089.0,11.0,CALIFORNIA,1192,66.3,17.98
656,fallbrook union elementary,California,547.97,85.77,9,0,0,6,0,18,13,8,143.75,Fallbrook Union Elementary,613500.0,San Diego County,6073.0,11.0,CALIFORNIA,4756,228.01,20.86
657,fallbrook union high,California,214.29,29.75,6,2,0,2,0,4,2,1,42.15,Fallbrook Union High,613530.0,San Diego County,6073.0,3.0,CALIFORNIA,2155,103.39,20.84
658,family first charter district,CALIFORNIA,27.84,1.54,0,0,0,1,0,0.5,0,0,7.18,Family First Charter District,601605.0,Los Angeles County,6037.0,1.0,CALIFORNIA,375,11,34.09
659,family partnership charter district,CALIFORNIA,33.45,3.3,0,0.41,0,1,0,0,0,0,4.94,Family Partnership Charter District,602378.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,481,21.55,22.32
660,farmersville unified,California,249.08,15.97,5.5,6.74,0,2,0,8.67,4,1,73.07,Farmersville Unified,600035.0,Tulare County,6107.0,6.0,CALIFORNIA,2484,110.63,22.45
661,feaster (mae l.) charter district,CALIFORNIA,90.08,7.75,2.21,2.21,0,1,0,3,2,1,12.11,Feaster (Mae L.) Charter District,602173.0,San Diego County,6073.0,1.0,CALIFORNIA,1122,54.8,20.47
662,fenton avenue charter district,CALIFORNIA,76.7,18,1,1,0,0,0,3,1,2,20.03,Fenton Avenue Charter District,602126.0,Los Angeles County,6037.0,1.0,CALIFORNIA,612,27.67,22.12
663,fenton charter leadership academy district,CALIFORNIA,37.23,4.5,0,1,0,0,0,3,0,2,9.48,Fenton Charter Leadership Academy District,602456.0,Los Angeles County,6037.0,1.0,CALIFORNIA,355,16,22.19
664,fenton primary center district,CALIFORNIA,81.5,23,1,1,0,0.5,0,3.5,1,1,18.5,Fenton Primary Center District,602242.0,Los Angeles County,6037.0,1.0,CALIFORNIA,627,28,22.39
665,fenton stem acad: elem ctr for sci tech engr & math district,CALIFORNIA,30.56,1.5,0,1,0,0,0,3,0,1,7.81,Fenton STEM Acad: Elem CTR for Sci Tech Engr & Math District,601613.0,Los Angeles County,6037.0,1.0,CALIFORNIA,343,15,22.87
666,ferndale unified,California,62.09,8.97,1.8,0,0,1,0,1,1,0,14,Ferndale Unified,600037.0,Humboldt County,6023.0,2.0,CALIFORNIA,454,30.32,14.97
667,fieldbrook elementary,California,14.18,3.24,0,0,0,0.5,0,0.5,1,0,1.75,Fieldbrook Elementary,613740.0,Humboldt County,6023.0,1.0,CALIFORNIA,116,6,19.33
668,fillmore unified,California,406.4,46.83,10,1,0,5.5,0,11.9,5,5,111.57,Fillmore Unified,613800.0,Ventura County,6111.0,9.0,CALIFORNIA,3626,164.86,21.99
669,firebaugh-las deltas unified,California,233.67,16.75,2,3,0,3,0,4.44,0,3,69.3,Firebaugh-Las Deltas Unified,613840.0,Fresno County,6019.0,6.0,CALIFORNIA,2178,102.36,21.28
670,five keys adult school (sf sheriff's) district,CALIFORNIA,17.46,0,0.33,0,0,1,0,0.78,0,0.33,4.98,Five Keys Adult School (SF Sheriff's) District,601583.0,San Francisco County,6075.0,1.0,CALIFORNIA,328,9.9,33.13
671,five keys charter (sf sheriff's) district,CALIFORNIA,17.44,0,0.33,0,0,1.5,0,1.28,0,0.33,8.21,Five Keys Charter (SF Sheriff's) District,601998.0,San Mateo County,6081.0,1.0,CALIFORNIA,110,5.42,20.3
672,five keys independence hs (sf sheriff's) district,CALIFORNIA,189.73,0,1.76,0,0,2.84,0,8.45,0,0.59,79.49,Five Keys Independence HS (SF Sheriff's) District,602118.0,San Francisco County,6075.0,1.0,CALIFORNIA,2434,91.66,26.55
673,flournoy union elementary,California,7,3,0,0,0,0,0,0,0,0,1,Flournoy Union Elementary,613860.0,Tehama County,6103.0,1.0,CALIFORNIA,42,2,21
674,folsom-cordova unified,California,1911.66,286.74,25.33,12,1,11,0,50.88,47.25,22.13,397.98,Folsom-Cordova Unified,613890.0,Sacramento County,6067.0,34.0,CALIFORNIA,20096,911.19,22.05
675,fontana unified,California,3631.34,417.35,65.5,42.9,3,5,3,96.61,41.8,29.5,963.93,Fontana Unified,613920.0,San Bernardino County,6071.0,44.0,CALIFORNIA,35461,1704.3,20.81
676,forest ranch charter district,CALIFORNIA,13.56,3.22,0,0,0,0,0,0,0,0,0.88,Forest Ranch Charter District,601895.0,Butte County,6007.0,1.0,CALIFORNIA,122,7.85,15.54
677,foresthill union elementary,California,42.42,6.4,0,0,0,0,0,1,0,0,10.15,Foresthill Union Elementary,613980.0,Placer County,6061.0,1.0,CALIFORNIA,392,21,18.67
678,forestville union elementary,California,30.79,4.65,0,0,0,0,0,2,0,0,8.94,Forestville Union Elementary,614010.0,Sonoma County,6097.0,2.0,CALIFORNIA,267,14,19.07
679,forks of salmon elementary,California,9,4,0,0,0,0,0,0,0,0,4,Forks of Salmon Elementary,614040.0,Siskiyou County,6093.0,1.0,CALIFORNIA,8,1,8
680,fort bragg unified,California,215.21,35.97,4.7,2.75,0,1,0,6.8,1,2,45.66,Fort Bragg Unified,614070.0,Mendocino County,6045.0,7.0,CALIFORNIA,1695,90.92,18.64
681,fort ross elementary,California,4.41,0,0,0,0,0.3,0,0.3,0,0,1.28,Fort Ross Elementary,614130.0,Sonoma County,6097.0,1.0,CALIFORNIA,11,2,5.5
682,fort sage unified,California,30.17,2.68,0,0,0,0.5,0,0,0,0,5.16,Fort Sage Unified,600011.0,Lassen County,6035.0,4.0,CALIFORNIA,220,16.83,13.07
683,fortuna elementary,California,140.67,21.3,3,0,0.13,1,0,4,3,2,38.18,Fortuna Elementary,601420.0,Humboldt County,6023.0,4.0,CALIFORNIA,1029,58.33,17.64
